"genre","avg_vote","income"
"Biography, Drama, Sport",7.1,48.624
"Adventure, Comedy, Family",5.7,128.388
"Adventure, Drama, Family",6.7,43.967
"Action, Crime, Drama",7.6,84.872
"Action, Comedy, Crime",4.4,107.588
"Crime, Drama, Mystery",7.8,155.763
"Comedy, Drama, Romance",7.2,15.457
"Adventure, Biography, Drama",7.3,61.182
"Action, Drama, History",6.3,11.992
"Comedy, Fantasy",6.4,52.396
"Horror, Mystery, Thriller",6.2,98.450
"Biography, Crime, Drama",6.9,42.973
"Animation, Action, Adventure",7.9,3.088
"Drama, Thriller",4.9,5.567
"Drama, Thriller",6.7,12.975
"Comedy, Drama, Mystery",6.3,85.512
"Comedy, Drama, Music",5.9,41.325
"Adventure, Drama, Sci-Fi",8,630.162
"Action, Adventure, Drama",6,122.607
"Comedy, Drama, Romance",7.2,5.543
"Drama, History, Thriller",7.6,165.478
"Drama, Mystery, Thriller",7.5,4.236
"Drama, Romance",5.3,3.335
"Comedy, Drama, Romance",6.6,27.391
"Biography, Drama, Sport",7.2,2.246
"Biography, Comedy, Drama",6.7,41.388
"Comedy, Drama",7.8,3.004
"Comedy, Drama",7.3,9.028
"Comedy, Drama, Romance",6.6,14.659
"Drama, Music, Romance",6.2,11.122
"Drama",7,4.323
"Comedy, Fantasy",7.1,15.710
"Action, Crime, Thriller",5.7,24.818
"Drama, War",7.5,6.659
"Drama",6.5,73.256
"Drama, History, War",7.8,3.170
"Comedy, Crime, Drama",7.2,17.987
"Comedy, Drama, Fantasy",6.1,61.549
"Biography, Drama, History",6.8,5.383
"Crime, Drama, Horror",5.6,60.273
"Action, Comedy, Sci-Fi",5.6,1.407
"Drama, Romance",7.4,5.012
"Drama",7.6,5.275
"Biography, Drama, History",7.1,3.621
"Action, Adventure, Sci-Fi",6.3,312.296
"Drama",6.1,14.411
"Horror, Music, Thriller",7,3.769
"Drama, Romance",6.7,3.779
"Drama, Mystery, Thriller",7,58.981
"Drama, Sport",6.5,14.402
"Drama, Horror, Mystery",6.9,40.424
"Comedy, Drama",6.7,7.205
"Action, Adventure, Drama",6,259.368
"Adventure, Drama",7.9,3.217
"Drama",7.4,4.728
"Drama",4.8,4.843
"Comedy, Drama, Romance",6.3,5.425
"Comedy, Drama, Music",6.3,63.648
"Drama, History",7.2,23.835
"Action, Adventure, Fantasy",6.8,439.049
"Action, Adventure, Drama",6.2,356.700
"Drama, Fantasy",5.6,7.330
"Horror, Thriller",6.1,11.085
"Action, Biography, Drama",6.9,25.036
"Action, Drama, Horror",7.2,110.217
"Action, Adventure, Fantasy",7.5,677.718
"Biography, Drama, History",6.6,19.264
"Action, Comedy, Fantasy",5.2,229.148
"Comedy, Drama, Romance",6.1,112.344
"Biography, Crime, Drama",7,21.011
"Drama, Romance, Sci-Fi",7,303.144
"Adventure, Crime, Drama",5.6,6.312
"Action, Comedy, Fantasy",5.8,16.457
"Action, Adventure, Fantasy",6,746.847
"Crime, Drama, Horror",5.1,30.658
"Action, Adventure, Comedy",8,782.612
"Action, Adventure, Fantasy",4.6,6.272
"Comedy, Drama, Romance",6.5,211.952
"Action, Comedy, Crime",6.3,216.973
"Horror, Mystery, Thriller",5,45.173
"Action, Adventure, Comedy",4.7,56.723
"Biography, Drama, History",6.7,24.270
"Biography, Drama, Sport",6.8,6.699
"Action, Adventure, Sci-Fi",5.2,389.682
"Comedy, Drama, Romance",6.8,12.597
"Animation, Adventure, Comedy",6.5,346.864
"Animation, Adventure, Comedy",6.1,140.705
"Comedy",5.8,114.501
"Action, Crime, Thriller",6.3,23.178
"Biography, Drama, Sport",6.6,4.978
"Comedy, Crime, Drama",5.6,24.079
"Crime, Drama",6.7,14.881
"Comedy",5.9,94.073
"Action, Drama, History",7.1,121.790
"Horror, Thriller",4.4,10.898
"Comedy, Drama",7.3,19.370
"Adventure, Drama, Family",6.7,296.482
"Comedy, Drama, Romance",5.7,1.659
"Horror, Thriller",6.2,3.377
"Comedy, Drama, Romance",5.7,3.885
"Animation, Action, Adventure",6.3,352.334
"Biography, Comedy, Crime",7.1,86.235
"Action, Drama, History",6.8,52.099
"Action, Adventure, Fantasy",5.9,334.934
"Action, Adventure, Sci-Fi",5.7,240.698
"Biography, Drama, History",8.1,180.451
"Action, Crime, Thriller",5.7,6.818
"Action, Crime, Drama",7.3,155.160
"Crime, Drama, Thriller",6.5,93.283
"Animation, Adventure, Comedy",6.8,106.127
"Animation, Action, Adventure",7.1,521.171
"Animation, Adventure, Comedy",7.3,1028.571
"Action, Adventure, Sci-Fi",5.2,109.906
"Animation, Comedy, Drama",7.8,5.873
"Action, Crime, Drama",6.4,22.679
"Drama, Horror, Thriller",3.9,5.745
"Action, Crime, Drama",6.3,14.858
"Action, Adventure, Drama",6.1,164.989
"Action, Comedy",5.9,29.919
"Biography, Drama",6.4,4.159
"Action, Adventure, Fantasy",5.4,150.681
"Action, Adventure, Western",6.9,162.361
"Biography, Comedy, Crime",5.8,29.675
"Action, Drama, Sport",6.2,30.931
"Drama, Mystery, Sci-Fi",7.9,203.388
"Drama, Romance",7.2,25.976
"Adventure, Family, Fantasy",6.2,299.457
"Drama, Horror, Mystery",4.8,13.082
"Action, Crime, Drama",7.6,37.880
"Action, Horror, Sci-Fi",5.5,312.243
"Action, Adventure, Drama",5.7,94.061
"Drama, Mystery, Sci-Fi",6.6,6.741
"Action, Adventure, Sci-Fi",7.1,343.472
"Drama",7.2,64.415
"Drama, Romance",7.4,208.314
"Comedy",5.4,78.845
"Animation, Adventure, Comedy",6.5,875.458
"Action, Adventure, Comedy",6.7,143.695
"Animation, Adventure, Comedy",5.9,23.158
"Comedy, Romance",6,77.068
"Animation, Action, Adventure",5.6,13.386
"Action, Comedy, Crime",5.9,124.608
"Comedy",6.9,4.644
"Animation, Adventure, Comedy",8,1023.789
"Biography, Family, Sport",7.3,2.001
"Action, Adventure, Sci-Fi",6.4,873.638
"Comedy, Drama, Romance",6.1,9.170
"Action, Sci-Fi, Thriller",6.3,38.804
"Adventure, Drama, Family",7.4,966.552
"Action, Adventure, Crime",6.2,220.021
"Horror, Mystery, Thriller",7.3,320.393
"Comedy, Drama, Romance",6.4,21.402
"Action, Adventure, Comedy",5.6,64.494
"Action, Adventure, Comedy",6.5,334.898
"Adventure, Family, Fantasy",7.3,814.039
"Horror, Thriller",5.3,9.037
"Action, Drama, History",6.3,46.433
"Biography, Drama",7.4,240.798
"Action, Thriller",5.9,205.754
"Horror, Mystery, Thriller",5.3,10.975
"Action, Comedy, Crime",4.8,7.354
"Action, Adventure, Comedy",6.2,27.979
"Action, Adventure, Sci-Fi",6.9,543.934
"Biography, Drama, History",6.8,14.459
"Horror, Mystery, Thriller",4.8,39.712
