imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0181151,Da che pianeta vieni?,What Planet Are You From?,2000,12/1/2000,"Comedy, Sci-Fi",105,USA,English,Mike Nichols,"Garry Shandling, Michael Leeson",Brillstein-Grey Entertainment,"Garry Shandling, Annette Bening, John Goodman, Greg Kinnear, Ben Kingsley, Judy Greer, Danny Zorn, Harmony Smith, Richard Jenkins, Linda Fiorentino, Caroline Aaron, Nora Dunn, Cricky Long, Camryn Manheim, Ann Cusack",A human-looking alien from a highly advanced but emotionless all-male society is sent to Earth to impregnate a woman and bring the child back to their planet. The alien ends up falling in love there. A suspicious F.A.A. Agent targets him.,5.6,8995,"$60,000,000 ","$6,291,602 ",14145677.00,41,93,38
tt0093777,Il signore del male,Prince of Darkness,1987,3/10/1988,Horror,102,USA,"English, Latin",John Carpenter,John Carpenter,Alive Films,"Donald Pleasence, Jameson Parker, Victor Wong, Lisa Blount, Dennis Dun, Susan Blanchard, Anne Marie Howard, Ann Yen, Ken Wright, Dirk Blocker, Jessie Lawrence Ferguson, Peter Jason, Robert Grasmere, Thom Bray, Joanna Merlin","A research team finds a mysterious cylinder in a deserted church. If opened, it could mean the end of the world.",6.7,36120,"$3,000,000 ","$14,182,492 ",14182492.00,50,262,193
tt0377107,Proof - La prova,Proof,2005,2/3/2006,"Drama, Mystery",100,USA,English,John Madden,"David Auburn, David Auburn",Miramax,"Gwyneth Paltrow, Anthony Hopkins, Jake Gyllenhaal, Danny McCarthy, Hope Davis, Tobiasz Daszkiewicz, Gary Houston, Anne Wittman, Leigh Zimmerman, Colin Stinton, Leland Burnett, John Keefe, Chipo Chung, C. Gerod Harris, Roshan Seth","The daughter of a brilliant but mentally disturbed mathematician, recently deceased, tries to come to grips with her possible inheritance: his insanity. Complicating matters are one of her father's ex-students, who wants to search through his papers, and her estranged sister, who shows up to help settle his affairs.",6.7,42614,"$20,000,000 ","$7,535,331 ",14189860.00,64,193,137
tt0072926,Assassinio sull'Eiger,The Eiger Sanction,1975,5/21/1975,"Action, Crime, Thriller",129,USA,"English, German",Clint Eastwood,"Hal Dresner, Warren Murphy",The Malpaso Company,"Clint Eastwood, George Kennedy, Vonetta McGee, Jack Cassidy, Heidi Brรผhl, Thayer David, Reiner Schรถne, Michael Grimm, Jean-Pierre Bernard, Brenda Venus, Gregory Walcott, Candice Rialson, Elaine Shore, Dan Howard, Jack Kosslyn","Classical art professor and collector Dr. Jonathan Hemlock, who doubles as a professional assassin, is coerced out of retirement to avenge the murder of an old friend.",6.4,17167,"$9,000,000 ","$14,200,000 ",14200000.00,61,101,52
tt0088915,Chorus Line,A Chorus Line,1985,12/20/1985,"Drama, Music, Musical",113,USA,English,Richard Attenborough,"Arnold Schulman, Michael Bennett",Embassy Pictures,"Michael Blevins, Yamil Borges, Jan Gan Boyd, Sharon Brown, Gregg Burge, Michael Douglas, Cameron English, Tony Fields, Nicole Fosse, Vicki Frederick, Michelle Johnston, Janet Jones, Pam Klinger, Barbara Koval, Audrey Landers",Hopefuls try out before a demanding director for a part in a new musical.,6.2,8991,"$27,000,000 ","$14,202,899 ",14202899.00,46,95,32
tt0081455,Scanners,Scanners,1981,5/1/1982,"Horror, Sci-Fi, Thriller",103,Canada,English,David Cronenberg,David Cronenberg,Canadian Film Development Corporation (CFDC),"Jennifer O'Neill, Stephen Lack, Patrick McGoohan, Lawrence Dane, Michael Ironside, Robert A. Silverman, Lee Broker, Mavor Moore, Adam Ludwig, Murray Cruchley, Fred Doederlein, Gรฉza Kovรกcs, Sonny Forbes, Jรฉrรดme Tiberghien, Denis Lacroix",A scientist sends a man with extraordinary psychic powers to hunt others like him.,6.8,46788,CAD 4100000,"$14,225,876 ",14225876.00,60,196,132
tt0089907,Il ritorno dei morti viventi,The Return of the Living Dead,1985,4/25/1985,"Comedy, Horror, Sci-Fi",91,USA,English,Dan O'Bannon,"Rudy Ricci, John A. Russo",Cinema '84,"Clu Gulager, James Karen, Don Calfa, Thom Mathews, Beverly Randolph, John Philbin, Jewel Shepard, Miguel A. Nรบรฑez Jr., Brian Peck, Linnea Quigley, Mark Venturini, Jonathan Terry, Cathleen Cordell, Drew Deighan, James Dalesandro","When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies.",7.3,53235,"$4,000,000 ","$14,237,880 ",14237880.00,66,339,237
tt0825236,Caramel,Sukkar banat,2007,12/21/2007,"Comedy, Drama, Romance",95,"France, Lebanon","Arabic, French",Nadine Labaki,"Nadine Labaki, Jihad Hojeily",Les Films des Tournelles,"Nadine Labaki, Yasmine Al Massri, Joanna Moukarzel, Gisรจle Aouad, Adel Karam, Seham Haddad, Aziza Semaan, Fatmeh Safa, Dimitri Staneofski, Fadia Stella, Ismaรฏl Antar, Cinderella Al Hajj, Daed Al Khoury, Farida Saleba, Jocelyne El Khoury",A romantic comedy centered on the daily lives of five Lebanese women living in Beirut.,7.1,12457,EUR 1300000,"$1,055,580 ",14248749.00,70,67,113
tt0087451,I pirati dello spazio,The Ice Pirates,1984,3/16/1984,"Action, Adventure, Comedy",91,USA,English,Stewart Raffill,"Stewart Raffill, Stanford Sherman",Metro-Goldwyn-Mayer (MGM),"Robert Urich, Mary Crosby, Michael D. Roberts, Anjelica Huston, John Matuszak, Ron Perlman, John Carradine, Natalie Core, Jeremy West, Bruce Vilanch, Alan Caillou, Marcia Lewis, Daryl Keith Roach, Robert Symonds, Gary Brockette","In a distant future scarce of water, space pirates get caught after stealing ice from a spaceship. They are sold to a princess looking for her dad. He might have found a planet abundant with water.",5.7,9691,"$9,000,000 ","$14,255,801 ",14255801.00,44,69,72
tt0265808,110 e frode,Stealing Harvard,2002,2/14/2003,"Comedy, Crime",85,USA,English,Bruce McCulloch,"Martin Hynes, Peter Tolan",Revolution Studios,"Jason Lee, Tom Green, Leslie Mann, Megan Mullally, Dennis Farina, Tammy Blanchard, Richard Jenkins, Chris Penn, John C. McGinley, Seymour Cassel, Zeus, Ken Magee, Martin Starr, Mary Gillis, Bruce McCulloch",A middle-class man turns to a life of crime in order to finance his niece's first year at Harvard University.,5.2,12402,"$25,000,000 ","$14,036,406 ",14277032.00,25,85,51
