"genre","avgVote","income"
"Biography, Drama, Sport",7.1,48623572
"Adventure, Comedy, Family",5.7,128388320
"Adventure, Drama, Family",6.7,43967255
"Action, Crime, Drama",7.6,84872444
"Action, Comedy, Crime",4.4,107588225
"Crime, Drama, Mystery",7.8,155762510
"Comedy, Drama, Romance",7.2,15456717
"Adventure, Biography, Drama",7.3,61181942
"Action, Drama, History",6.3,11991669
"Comedy, Fantasy",6.4,52395996
"Horror, Mystery, Thriller",6.2,98450062
"Biography, Crime, Drama",6.9,42972994
"Animation, Action, Adventure",7.9,3087832
"Drama, Thriller",4.9,5567103
"Drama, Thriller",6.7,12975143
"Comedy, Drama, Mystery",6.3,85512300
"Comedy, Drama, Music",5.9,41325328
"Adventure, Drama, Sci-Fi",8,630161890
"Action, Adventure, Drama",6,122606884
"Comedy, Drama, Romance",7.2,5543036
"Drama, History, Thriller",7.6,165478348
"Drama, Mystery, Thriller",7.5,4235959
"Drama, Romance",5.3,3334927
"Comedy, Drama, Romance",6.6,27391084
"Biography, Drama, Sport",7.2,2246000
"Biography, Comedy, Drama",6.7,41387687
"Comedy, Drama",7.8,3003560
"Comedy, Drama",7.3,9027600
"Comedy, Drama, Romance",6.6,14659448
"Drama, Music, Romance",6.2,11122090
"Drama",7,4323120
"Comedy, Fantasy",7.1,15709652
"Action, Crime, Thriller",5.7,24817852
"Drama, War",7.5,6659121
"Drama",6.5,73256266
"Drama, History, War",7.8,3169553
"Comedy, Crime, Drama",7.2,17986781
"Comedy, Drama, Fantasy",6.1,61548707
"Biography, Drama, History",6.8,5383097
"Crime, Drama, Horror",5.6,60273173
"Action, Comedy, Sci-Fi",5.6,1406538
"Drama, Romance",7.4,5011560
"Drama",7.6,5274664
"Biography, Drama, History",7.1,3621046
"Action, Adventure, Sci-Fi",6.3,312296056
"Drama",6.1,14410698
"Horror, Music, Thriller",7,3769214
"Drama, Romance",6.7,3778938
"Drama, Mystery, Thriller",7,58980521
"Drama, Sport",6.5,14401617
"Drama, Horror, Mystery",6.9,40423945
"Comedy, Drama",6.7,7205073
"Action, Adventure, Drama",6,259368448
"Adventure, Drama",7.9,3217176
"Drama",7.4,4728350
"Drama",4.8,4842699
"Comedy, Drama, Romance",6.3,5425148
"Comedy, Drama, Music",6.3,63647656
"Drama, History",7.2,23834809
"Action, Adventure, Fantasy",6.8,439048914
"Action, Adventure, Drama",6.2,356700357
"Drama, Fantasy",5.6,7330338
"Horror, Thriller",6.1,11084630
"Action, Biography, Drama",6.9,25035950
"Action, Drama, Horror",7.2,110216998
"Action, Adventure, Fantasy",7.5,677718395
"Biography, Drama, History",6.6,19263938
